word,encoded_word,alphabet_to_emoji
debt,🦗🧑🤺🙋,a:🥦;b:🤺;c:🚏;d:🦗;e:🧑;f:🐾;g:🏈;h:🐝;i:💆;j:👶;k:🍰;l:🦂;m:🏯;n:🐜;o:🐟;p:👰;q:👤;r:🥜;s:🏤;t:🙋;u:🧚;v:🐞;w:🏬;x:🫀;y:⛅;z:🚈
town,🧒🦴🤳👰,a:🐚;b:🥛;c:⭐;d:🌁;e:🍗;f:🚛;g:🌺;h:🧃;i:🎢;j:🛟;k:👩;l:🛹;m:🕖;n:👰;o:🦴;p:🐙;q:🕜;r:🥒;s:🫗;t:🧒;u:🤰;v:🪴;w:🤳;x:🥍;y:👦;z:🎅
wife,🦭🚨🪂🥛,a:🌝;b:🎋;c:🥣;d:🦌;e:🥛;f:🪂;g:🧏;h:🛀;i:🚨;j:🦩;k:🤝;l:🫖;m:🌍;n:🧓;o:🏸;p:🐞;q:🥤;r:👩;s:🥢;t:💇;u:🤾;v:🚣;w:🦭;x:🕞;y:🌜;z:🕛
hair,🧛🌽🦇🧭,a:🌽;b:🐇;c:👶;d:🧃;e:🌋;f:🦠;g:🍞;h:🧛;i:🦇;j:🦼;k:🫕;l:🏺;m:🤰;n:🍎;o:🧘;p:🥤;q:👧;r:🧭;s:🎆;t:🥢;u:🦆;v:🧇;w:👴;x:🍷;y:🥓;z:🏀
meat,🪵🏃🤦🥙,a:🤦;b:🪆;c:🥢;d:⛽;e:🏃;f:🕣;g:🫖;h:🎆;i:🐙;j:🕞;k:💐;l:🚊;m:🪵;n:🥉;o:🪱;p:👤;q:🛴;r:🫶;s:🙌;t:🥙;u:🦛;v:🪢;w:🍶;x:🚜;y:🪩;z:⌛
song,🥯🐬🦌🧨,a:🏅;b:🧩;c:🐙;d:🦾;e:🐭;f:🏠;g:🧨;h:🦍;i:🍊;j:🧝;k:🎴;l:🍘;m:🚖;n:🦌;o:🐬;p:🌚;q:🥝;r:🕟;s:🥯;t:🫔;u:🐘;v:🧠;w:🥉;x:🌻;y:🎍;z:🦮
mode,🧠🦓🐽🏊,a:🥙;b:👂;c:🥋;d:🐽;e:🏊;f:🍢;g:🥃;h:🪄;i:⚡;j:🏨;k:🪆;l:🤲;m:🧠;n:🦠;o:🦓;p:🛸;q:🍻;r:🙇;s:💮;t:🛞;u:🎣;v:⛅;w:🚒;x:👣;y:🤵;z:🧖
fact,🚐🎐🥉🧀,a:🎐;b:🙌;c:🥉;d:🦭;e:⛽;f:🚐;g:🫶;h:🥠;i:🐃;j:🚉;k:🥣;l:🤱;m:🥤;n:🚓;o:🦍;p:🔪;q:🥒;r:🥭;s:🏏;t:🧀;u:🎮;v:🥎;w:🧌;x:🦄;y:🌸;z:🫦
king,🤷🧉🍪🍰,a:🥈;b:🍣;c:🏐;d:🐄;e:🏺;f:🌙;g:🍰;h:🫕;i:🧉;j:👨;k:🤷;l:⛺;m:🛸;n:🍪;o:🦨;p:🧎;q:🤽;r:🚆;s:🧸;t:🥅;u:🧨;v:🏫;w:🚉;x:🐶;y:🍱;z:🐾
bird,🥮🌍🍟🛑,a:🏒;b:🥮;c:🏢;d:🛑;e:👂;f:👼;g:🦹;h:🐆;i:🌍;j:🥒;k:🎐;l:🌁;m:🕟;n:🍎;o:🌔;p:🦾;q:🫖;r:🍟;s:🚲;t:🦴;u:🥂;v:👤;w:🎳;x:💆;y:🌾;z:🍳
bath,🥟🕜🏦🧳,a:🕜;b:🥟;c:🙆;d:🎉;e:🌐;f:🍔;g:🐆;h:🧳;i:🤦;j:🕕;k:🚌;l:🚏;m:🦈;n:🎣;o:🏡;p:🥎;q:🐅;r:🐮;s:🌰;t:🏦;u:🦔;v:👦;w:🐪;x:🚈;y:🦸;z:🦤
soup,🌐🧩🛝🎾,a:🕗;b:🐳;c:🥩;d:🍩;e:🐊;f:🦨;g:🥠;h:🦊;i:🍌;j:🪨;k:🪵;l:🐕;m:👀;n:⛵;o:🧩;p:🎾;q:👰;r:🥭;s:🌐;t:🦻;u:🛝;v:🎅;w:🧂;x:🐼;y:🫑;z:🐹
goal,🛴🦹🦚👦,a:🦚;b:🕑;c:🐂;d:🤼;e:🏂;f:🚏;g:🛴;h:🦿;i:🏺;j:🍄;k:🥭;l:👦;m:🦫;n:🏓;o:🦹;p:🍊;q:🎭;r:⚾;s:🐄;t:🗻;u:👰;v:🥜;w:🌝;x:🌜;y:🦅;z:🤝
road,🐤🏂🏡🥙,a:🏡;b:🚏;c:🫑;d:🥙;e:🐜;f:🍰;g:🏇;h:🍀;i:🧑;j:👂;k:🍊;l:🫀;m:👴;n:🦀;o:🏂;p:🏠;q:🚐;r:🐤;s:🍾;t:🎢;u:🦮;v:👱;w:👄;x:👼;y:🌄;z:🐽
poem,🧎🌿🥨🍎,a:🍆;b:🍞;c:🎈;d:🎑;e:🥨;f:🌱;g:🏪;h:🐥;i:🚏;j:🍨;k:🤽;l:🎅;m:🍎;n:🍳;o:🌿;p:🧎;q:🌮;r:🥦;s:👥;t:🧍;u:🪀;v:🙍;w:💆;x:🐭;y:🎍;z:🕦
news,🙏🪴🦣🍚,a:🏓;b:🌮;c:🦂;d:🎾;e:🪴;f:🤽;g:🐰;h:🙌;i:🛷;j:🚤;k:🥚;l:🚂;m:🕟;n:🙏;o:🎍;p:🤺;q:🕒;r:🦎;s:🍚;t:🧇;u:🕜;v:🍧;w:🦣;x:🍶;y:🏺;z:🎭
girl,🐑🙏🍏🛀,a:🐭;b:🏓;c:🥘;d:🚆;e:🍀;f:🚄;g:🐑;h:🧘;i:🙏;j:🌁;k:🚣;l:🛀;m:🚲;n:🐴;o:🚌;p:🌚;q:🎊;r:🍏;s:💺;t:🤾;u:🐣;v:🐢;w:🍫;x:🍅;y:🦪;z:🐠
gate,🫓🧞🙋🪲,a:🧞;b:🚣;c:🎢;d:🦝;e:🪲;f:🚁;g:🫓;h:🪐;i:⚡;j:🎽;k:🐤;l:🕛;m:🍊;n:👲;o:🪀;p:🛼;q:🥠;r:🫙;s:🐥;t:🙋;u:🏬;v:⛳;w:🍒;x:🍯;y:🌂;z:🐯
exam,🎂🍭🍎🍋,a:🍎;b:🪆;c:🐞;d:🤼;e:🎂;f:🕺;g:🍾;h:🥕;i:🪂;j:🎳;k:🐁;l:🕘;m:🍋;n:🙆;o:🛌;p:🪴;q:🐩;r:🏂;s:🌐;t:🦋;u:🧄;v:🦬;w:🦿;x:🍭;y:🦴;z:🪵
disk,🥊🕞🏭👷,a:🎱;b:🍐;c:🧸;d:🥊;e:🌻;f:🧌;g:🥢;h:🚄;i:🕞;j:🚋;k:👷;l:🍦;m:🚦;n:🥙;o:🕢;p:🦐;q:🛺;r:🦼;s:🏭;t:👲;u:🐭;v:🍉;w:🎡;x:🧒;y:🚛;z:🍯
oven,👨👀🦏🐁,a:🚌;b:🍇;c:🪳;d:🧵;e:🦏;f:🦖;g:🥧;h:🎱;i:🕡;j:🐯;k:🐐;l:👐;m:🦐;n:🐁;o:👨;p:🚤;q:🫦;r:🍩;s:⛺;t:🦟;u:🚒;v:👀;w:🛝;x:🍙;y:🦗;z:🕥
lady,🦈🧋🏡🏠,a:🧋;b:🛞;c:🚗;d:🏡;e:🥖;f:🍊;g:✨;h:🏸;i:🐹;j:🧄;k:🧳;l:🦈;m:🦪;n:👂;o:🍩;p:🗽;q:🦁;r:🐧;s:🧘;t:🌯;u:🏏;v:🐐;w:🦚;x:🕞;y:🏠;z:🥮
dirt,💐🍲🥔🌐,a:🥅;b:🐂;c:🐭;d:💐;e:🧆;f:🦣;g:🪵;h:🍪;i:🍲;j:🌟;k:🏭;l:🛞;m:🏣;n:🥍;o:🦀;p:🐜;q:🦋;r:🥔;s:🦦;t:🌐;u:🐝;v:🦸;w:🛵;x:🍊;y:🕒;z:🎮
desk,🧸🫘🎊🥧,a:🪷;b:🍹;c:🚋;d:🧸;e:🫘;f:🤝;g:🫗;h:🤳;i:🤿;j:🐢;k:🥧;l:🦮;m:🧛;n:🥄;o:🦒;p:🚈;q:🚤;r:⛲;s:🎊;t:🍑;u:🎢;v:🛖;w:🕟;x:🚂;y:🎑;z:🌋
unit,🥎🧅🌊🚋,a:🦎;b:🐌;c:🧆;d:🍶;e:🐼;f:🧟;g:🚛;h:🥞;i:🌊;j:🦋;k:🗽;l:🌜;m:⚡;n:🧅;o:🐩;p:⛲;q:🏤;r:🗼;s:🤺;t:🚋;u:🥎;v:🍱;w:🫖;x:🪩;y:🐧;z:🛼
